infectious_period_both,omicron_latent_period,booster_reach,booster_VE,contact_reduction_scenario_id,contact_reduction_strength,contact_reduction_start,contact_reduction_end,relative_risk_hospitalization,relative_risk_icu,value_type,date,value
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-26,4304
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-27,4218
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-28,4131
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-29,4044
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-30,3957
2,2,md,lo,0,,,,0.35,0.15,icu,2021-12-31,3871
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-01,3786
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-02,3702
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-03,3618
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-04,3534
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-05,3452
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-06,3370
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-07,3290
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-08,3211
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-09,3134
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-10,3058
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-11,2985
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-12,2914
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-13,2846
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-14,2781
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-15,2720
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-16,2662
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-17,2608
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-18,2559
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-19,2514
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-20,2475
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-21,2441
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-22,2413
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-23,2392
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-24,2377
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-25,2369
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-26,2369
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-27,2376
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-28,2391
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-29,2415
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-30,2447
2,2,md,lo,0,,,,0.35,0.15,icu,2022-01-31,2487
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-01,2535
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-02,2592
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-03,2657
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-04,2730
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-05,2811
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-06,2899
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-07,2993
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-08,3094
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-09,3199
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-10,3309
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-11,3422
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-12,3537
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-13,3653
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-14,3769
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-15,3884
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-16,3996
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-17,4104
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-18,4208
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-19,4305
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-20,4395
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-21,4476
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-22,4549
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-23,4613
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-24,4666
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-25,4708
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-26,4740
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-27,4760
2,2,md,lo,0,,,,0.35,0.15,icu,2022-02-28,4770
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-01,4768
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-02,4755
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-03,4732
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-04,4699
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-05,4656
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-06,4603
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-07,4542
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-08,4473
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-09,4397
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-10,4314
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-11,4225
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-12,4130
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-13,4031
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-14,3927
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-15,3821
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-16,3711
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-17,3600
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-18,3486
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-19,3372
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-20,3257
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-21,3142
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-22,3027
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-23,2913
2,2,md,lo,0,,,,0.35,0.15,icu,2022-03-24,2801
